Age,Gender,Homeincome,Hometype,CarOwn,Driver,Workdays,Worktype,Student,NumHH,KidinHH,ComMode,ComTime
"[35,40)",1,3,1,1,1,1,8,4,4,1,Car,Peak
"[25,30)",2,2,3,2,1,1,6,4,2,2,Public Transportation,Peak
"[40,45)",2,4,1,1,1,4,2,4,4,2,No commute,No commute
"[60,65)",1,3,1,1,1,1,9,4,3,2,Public Transportation,Peak
"[45,50)",1,4,1,1,1,1,8,4,5,1,Car,Peak
"[80,85)",2,1,4,2,2,4,4,4,1,2,No commute,No commute
"[10,15)",2,4,1,1,2,4,1,1,4,2,Walking,Peak
"[40,45)",1,4,1,1,1,3,6,4,4,2,Car,Peak
"[30,35)",1,4,1,1,1,1,8,4,2,1,Public Transportation,Peak
"[20,25)",2,3,4,1,2,4,1,3,4,2,No commute,No commute
"[15,20)",2,3,1,1,2,4,3,1,5,2,Public Transportation,Peak
"[60,65)",2,2,4,1,2,3,2,4,2,2,Bike/Bicycle,Peak
"[55,60)",1,3,1,1,1,1,5,4,2,2,Public Transportation,Peak
"[45,50)",1,3,1,1,1,1,8,4,3,2,Car,Peak
"[40,45)",1,3,1,1,1,2,6,4,4,2,Car,Peak
"[50,55)",1,2,4,1,1,1,2,4,2,2,Car,Peak
"[60,65)",2,2,3,2,1,4,2,4,2,2,No commute,No commute
"[25,30)",1,3,1,1,1,2,4,4,4,1,Car,Peak
"[45,50)",1,2,3,1,1,2,8,4,2,2,Car,Peak
"[60,65)",2,3,4,1,1,4,4,4,5,2,No commute,No commute
"[50,55)",2,3,1,1,1,4,4,4,4,2,No commute,No commute
"[55,60)",2,1,2,1,1,4,2,4,2,2,No commute,No commute
"[35,40)",2,3,1,1,1,3,3,4,6,2,Public Transportation,Peak
"[55,60)",1,3,1,1,1,1,2,4,3,2,Car,Peak
"[20,25)",1,3,1,1,1,4,1,3,4,2,No commute,No commute
"[60,65)",1,1,4,1,1,3,8,4,3,2,Public Transportation,Peak
"[45,50)",2,4,4,1,1,4,2,4,3,2,No commute,No commute
"[30,35)",1,3,1,1,1,1,8,4,4,1,Car,Peak
"[40,45)",1,4,1,1,1,2,3,4,3,1,Bike/Bicycle,NonPeak
"[45,50)",1,4,2,1,1,1,6,4,5,2,Public Transportation,Peak
"[10,15)",1,2,4,1,2,4,3,1,4,2,Walking,Peak
"[55,60)",1,3,1,1,1,2,8,4,2,2,Car,Peak
"[40,45)",2,3,1,1,1,2,6,4,4,2,Car,Peak
"[30,35)",2,2,1,1,1,1,6,4,3,2,Public Transportation,Peak
"[55,60)",1,3,5,1,1,2,3,4,1,2,No commute,No commute
"[45,50)",2,2,1,1,1,1,7,4,1,2,Public Transportation,Peak
"[40,45)",2,2,3,1,1,1,6,4,4,2,Walking,NonPeak
"[45,50)",1,5,1,1,1,2,3,4,3,2,No commute,No commute
"[15,20)",2,2,1,1,2,4,1,1,4,2,Walking,Peak
"[40,45)",1,4,1,1,1,3,3,4,3,2,Car,Peak
"[15,20)",1,3,1,1,2,4,2,4,4,2,No commute,No commute
"[15,20)",1,1,4,2,2,4,1,1,2,2,Public Transportation,Peak
"[5,10)",2,1,4,1,2,4,3,1,5,2,Walking,Peak
"[40,45)",1,4,2,1,1,1,6,4,3,2,Public Transportation,Peak
"[15,20)",2,2,4,1,2,4,1,1,3,2,Public Transportation,Peak
"[45,50)",1,3,1,1,1,1,9,4,3,2,Car,NonPeak
"[20,25)",1,4,1,1,2,4,1,3,4,2,Walking,Peak
"[50,55)",1,2,1,1,1,1,4,4,1,2,Car,Peak
"[15,20)",2,3,1,1,2,4,3,1,3,2,Walking,Peak
"[35,40)",1,3,1,1,1,2,6,4,4,1,Walking,Others
"[15,20)",2,2,1,1,2,4,1,1,4,2,Walking,Peak
"[35,40)",2,2,3,1,1,1,5,4,4,1,Public Transportation,Peak
"[30,35)",1,4,4,1,1,1,8,4,5,1,Car,Peak
"[25,30)",2,2,5,2,1,4,4,4,2,2,No commute,No commute
"[70,75)",2,1,4,2,2,4,4,4,2,2,No commute,No commute
"[15,20)",1,2,1,1,2,4,1,1,4,2,Walking,Peak
"[60,65)",2,1,3,1,1,4,2,4,2,2,No commute,No commute
"[35,40)",2,3,1,1,1,4,2,4,4,2,No commute,No commute
"[15,20)",1,4,1,1,2,4,3,1,4,2,Walking,Peak
"[10,15)",2,3,1,1,2,4,3,1,4,2,Walking,Peak
"[45,50)",1,3,1,1,1,2,6,4,4,2,Car,Peak
"[5,10)",2,4,1,1,2,4,1,1,5,2,Car,NonPeak
"[35,40)",2,1,2,2,1,1,6,4,4,2,Public Transportation,Peak
"[15,20)",1,2,1,1,2,4,1,1,4,2,Walking,NonPeak
"[25,30)",1,3,1,1,1,4,2,4,4,2,No commute,No commute
"[40,45)",2,3,1,1,1,4,2,4,5,2,No commute,No commute
"[50,55)",1,2,1,1,1,2,6,4,4,2,Car,Others
"[45,50)",2,2,4,2,2,1,4,4,4,2,Walking,NonPeak
"[20,25)",2,2,4,1,1,3,9,4,4,2,Public Transportation,Peak
"[25,30)",2,3,4,1,1,4,4,4,2,2,No commute,No commute
"[10,15)",2,3,1,1,2,4,3,1,3,2,Walking,Peak
"[15,20)",1,2,2,1,2,4,3,3,3,2,Public Transportation,NonPeak
"[10,15)",1,4,1,1,2,4,1,1,4,2,Walking,Peak
"[75,80)",2,2,4,1,2,4,4,4,2,2,No commute,No commute
"[25,30)",1,2,3,2,2,4,3,3,1,2,Public Transportation,Peak
"[15,20)",2,3,3,2,2,4,1,3,5,2,Public Transportation,Peak
"[25,30)",2,2,1,2,1,1,8,4,1,2,Public Transportation,Peak
"[5,10)",1,2,3,1,2,4,1,1,3,2,Walking,Peak
"[15,20)",2,2,6,1,2,4,1,1,5,2,Walking,Peak
"[50,55)",2,4,6,1,1,2,7,4,5,2,Walking,Others
"[50,55)",1,2,4,1,1,1,6,4,2,2,Car,Peak
"[45,50)",1,4,1,1,1,1,6,4,4,2,Car,NonPeak
"[5,10)",2,2,1,1,2,4,1,1,3,2,Walking,Peak
"[35,40)",1,2,1,1,1,1,9,4,3,2,No commute,No commute
"[60,65)",2,1,4,1,2,4,4,4,2,2,No commute,No commute
"[35,40)",2,3,2,1,1,1,4,4,5,2,Walking,Peak
"[55,60)",1,2,1,1,1,2,5,4,3,2,Car,NonPeak
"[10,15)",1,3,2,1,2,4,1,1,4,2,Walking,Peak
"[35,40)",1,3,1,1,1,1,6,4,3,1,Car,Peak
"[55,60)",2,2,4,1,2,1,2,4,2,2,Walking,Peak
"[60,65)",1,2,4,1,1,1,2,4,1,2,No commute,Peak
"[15,20)",1,2,3,1,2,4,3,1,4,2,Public Transportation,Peak
"[10,15)",2,3,1,1,2,4,1,1,4,2,Walking,Peak
"[45,50)",1,2,1,1,1,3,7,4,4,2,Public Transportation,Others
"[35,40)",1,2,1,1,1,1,9,4,3,2,Public Transportation,Peak
"[10,15)",2,2,3,1,2,4,1,1,3,2,Walking,Peak
